,sorgu,label,le
0,Müşteri hizmetleri ile iletişime geçmek istiyorum.,musterihizmetleri,3
1,Müşteri hizmetlerine ulaşmak için yardıma ihtiyacım var.,musterihizmetleri,3
2,Müşteri temsilcisi ile konuşmak istiyorum.,musterihizmetleri,3
3,Müşteri destek hattı ile iletişim kurmak istiyorum.,musterihizmetleri,3
4,Müşteri hizmetleri numarasını arayarak yardım almak istiyorum.,musterihizmetleri,3
5,Müşteri hizmetleri departmanına bağlanmak istiyorum.,musterihizmetleri,3
6,Müşteri temsilcisine doğrudan ulaşmak istiyorum.,musterihizmetleri,3
7,Müşteri destek ekibi ile görüşmem gerekiyor.,musterihizmetleri,3
8,Müşteri hizmetlerine bağlanmam lazım.,musterihizmetleri,3
9,Müşteri hizmetlerine telefonla ulaşabilir miyim?,musterihizmetleri,3
10,Müşteri hizmetlerine mail atmak istiyorum.,musterihizmetleri,3
11,Müşteri hizmetlerinden telefonla destek almak istiyorum.,musterihizmetleri,3
12,Müşteri hizmetleri temsilcisi ile görüşmek istiyorum.,musterihizmetleri,3
13,Müşteri desteği ile konuşmak istiyorum.,musterihizmetleri,3
14,Müşteri hizmetleri ile görüşmem gerekti.,musterihizmetleri,3
15,Müşteri temsilcisi ile acil olarak konuşmam lazım.,musterihizmetleri,3
16,Müşteri destek hattına bağlanmam gerekiyor.,musterihizmetleri,3
17,Müşteri hizmetleri ile irtibata geçmek istiyorum.,musterihizmetleri,3
18,Müşteri hizmetlerine yardım talebinde bulunmak istiyorum.,musterihizmetleri,3
19,Müşteri temsilcisi ile görüşme talep ediyorum.,musterihizmetleri,3
20,Müşteri hizmetlerine direk bağlantı istiyorum.,musterihizmetleri,3
21,Müşteri destek servisi ile konuşmak istiyorum.,musterihizmetleri,3
22,Müşteri hizmetleri ile bir sorunum var.,musterihizmetleri,3
23,Müşteri hizmetlerine telefon açmak istiyorum.,musterihizmetleri,3
24,Müşteri destek hattına ulaşmak istiyorum.,musterihizmetleri,3
25,Müşteri temsilcisiyle telefon görüşmesi yapmak istiyorum.,musterihizmetleri,3
26,Müşteri hizmetlerine yazılı olarak ulaşmak istiyorum.,musterihizmetleri,3
27,Müşteri temsilcisi ile görüşme ayarlamak istiyorum.,musterihizmetleri,3
28,Müşteri destek ekibine ulaşmak istiyorum.,musterihizmetleri,3
29,Müşteri hizmetleri ile bağlantıya geçmek istiyorum.,musterihizmetleri,3
30,Müşteri destek hattı ile görüşmem gerekiyor.,musterihizmetleri,3
